Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2003-04,19,DEN,82,36.5,21.0,6.1,2.8,.426,.322,.777
2004-05,20,DEN,75,34.8,20.8,5.7,2.6,.431,.266,.796
2005-06,21,DEN,80,36.8,26.5,4.9,2.7,.481,.243,.808
2006-07,22,DEN,65,38.2,28.9,6.0,3.8,.476,.268,.808
2007-08,23,DEN,77,36.4,25.7,7.4,3.4,.492,.354,.786
2008-09,24,DEN,66,34.5,22.8,6.8,3.4,.443,.371,.793
2009-10,25,DEN,69,38.2,28.2,6.6,3.2,.458,.316,.830
2010-11,26,2TM,77,35.7,25.6,7.3,2.9,.455,.378,.838
2010-11,26,DEN,50,35.5,25.2,7.6,2.8,.452,.333,.823
2010-11,26,NYK,27,36.2,26.3,6.7,3.0,.461,.424,.872
2011-12,27,NYK,55,34.1,22.6,6.3,3.6,.430,.335,.804
2012-13,28,NYK,67,37.0,28.7,6.9,2.6,.449,.379,.830
2013-14,29,NYK,77,38.7,27.4,8.1,3.1,.452,.402,.848
2014-15,30,NYK,40,35.7,24.2,6.6,3.1,.444,.341,.797
2015-16,31,NYK,72,35.1,21.8,7.7,4.2,.434,.339,.829
2016-17,32,NYK,74,34.3,22.4,5.9,2.9,.433,.359,.833
2017-18,33,OKC,78,32.1,16.2,5.8,1.3,.404,.357,.767
2018-19,34,HOU,10,29.4,13.4,5.4,0.5,.405,.328,.682
2019-20,35,POR,58,32.8,15.4,6.3,1.5,.430,.385,.845
2020-21,36,POR,69,24.5,13.4,3.1,1.5,.421,.409,.890
2021-22,37,LAL,69,26.0,13.3,4.2,1.0,.441,.375,.830
