Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2012-13,22,GSW,7.1,.404,-3.6,-0.4,0.6,.028
2013-14,23,GSW,12.7,.498,1.9,1.8,4.5,.119
2014-15,24,GSW,16.4,.540,3.5,3.5,8.5,.163
2015-16,25,GSW,19.3,.587,5.5,5.3,11.1,.190
2016-17,26,GSW,16.5,.522,4.9,4.3,8.2,.160
2017-18,27,GSW,16.1,.556,2.8,2.8,6.1,.127
2018-19,28,GSW,12.9,.526,1.4,1.8,4.3,.100
2019-20,29,GSW,12.5,.489,-0.2,0.5,1.1,.044
2020-21,30,GSW,13.3,.530,1.7,1.9,4.6,.112
2021-22,31,GSW,14.3,.582,3.2,1.8,3.6,.131
2022-23,32,GSW,12.2,.592,0.8,1.6,4.7,.098
2023-24,33,GSW,14.5,.587,2.4,1.6,3.6,.116
2024-25,34,GSW,12.4,.534,0.5,1.3,3.7,.088
2025-26,35,GSW,10.4,.540,-1.4,0.3,1.7,.044
