Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2013-14,19,MIL,10.8,.518,-2.5,-0.2,1.2,.031
2014-15,20,MIL,14.8,.552,0.0,1.2,6.2,.117
2015-16,21,MIL,18.8,.566,2.1,2.9,7.1,.121
2016-17,22,MIL,26.1,.599,7.3,6.7,12.4,.210
2017-18,23,MIL,27.3,.598,6.2,5.7,11.9,.207
2018-19,24,MIL,30.9,.644,10.4,7.4,14.4,.292
2019-20,25,MIL,31.9,.613,11.5,6.6,11.1,.279
2020-21,26,MIL,29.2,.633,9.0,5.6,10.2,.244
2021-22,27,MIL,32.1,.633,11.2,7.4,12.9,.281
2022-23,28,MIL,29.0,.605,8.5,5.4,8.6,.204
2023-24,29,MIL,29.9,.649,9.0,7.2,13.2,.246
2024-25,30,MIL,30.5,.625,9.5,6.6,11.5,.241
2025-26,31,MIL,32.6,.658,9.5,3.0,5.0,.231
