Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2013-14,19,MIL,77,24.6,6.8,4.4,1.9,.414,.347,.683
2014-15,20,MIL,81,31.4,12.7,6.7,2.6,.491,.159,.741
2015-16,21,MIL,80,35.3,16.9,7.7,4.3,.506,.257,.724
2016-17,22,MIL,80,35.6,22.9,8.8,5.4,.521,.272,.770
2017-18,23,MIL,75,36.7,26.9,10.0,4.8,.529,.307,.760
2018-19,24,MIL,72,32.8,27.7,12.5,5.9,.578,.256,.729
2019-20,25,MIL,63,30.4,29.5,13.6,5.6,.553,.304,.633
2020-21,26,MIL,61,33.0,28.1,11.0,5.9,.569,.303,.685
2021-22,27,MIL,67,32.9,29.9,11.6,5.8,.553,.293,.722
2022-23,28,MIL,63,32.1,31.1,11.8,5.7,.553,.275,.645
2023-24,29,MIL,73,35.2,30.4,11.5,6.5,.611,.274,.657
2024-25,30,MIL,67,34.2,30.4,11.9,6.5,.601,.222,.617
2025-26,31,MIL,36,28.9,27.6,9.8,5.4,.624,.333,.650
