Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2011-12,20,SAS,16.6,.573,3.4,2.1,5.5,.171
2012-13,21,SAS,16.4,.592,3.1,2.3,6.2,.166
2013-14,22,SAS,19.4,.602,5.1,3.5,7.7,.193
2014-15,23,SAS,22.0,.567,5.9,4.1,8.6,.204
2015-16,24,SAS,26.0,.616,9.1,6.7,13.7,.277
2016-17,25,SAS,27.6,.610,9.4,7.1,13.6,.264
2017-18,26,SAS,26.0,.572,10.1,0.6,0.9,.196
2018-19,27,TOR,25.8,.606,7.2,4.7,9.5,.224
2019-20,28,LAC,26.9,.589,8.9,5.1,8.7,.226
2020-21,29,LAC,26.0,.622,7.3,4.2,8.8,.238
2022-23,31,LAC,23.9,.623,6.1,3.5,7.1,.194
2023-24,32,LAC,23.2,.626,5.5,4.4,8.9,.184
2024-25,33,LAC,20.5,.589,3.1,1.5,3.5,.141
2025-26,34,LAC,27.9,.629,8.0,5.3,9.2,.212
