Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2011-12,20,SAS,64,24.0,7.9,5.1,1.1,.493,.376,.773
2012-13,21,SAS,58,31.2,11.9,6.0,1.6,.494,.374,.825
2013-14,22,SAS,66,29.1,12.8,6.2,2.0,.522,.379,.802
2014-15,23,SAS,64,31.8,16.5,7.2,2.5,.479,.349,.802
2015-16,24,SAS,72,33.1,21.2,6.8,2.6,.506,.443,.874
2016-17,25,SAS,74,33.4,25.5,5.8,3.5,.485,.380,.880
2017-18,26,SAS,9,23.3,16.2,4.7,2.3,.468,.314,.816
2018-19,27,TOR,60,34.0,26.6,7.3,3.3,.496,.371,.854
2019-20,28,LAC,57,32.4,27.1,7.1,4.9,.470,.378,.886
2020-21,29,LAC,52,34.1,24.8,6.5,5.2,.512,.398,.885
2022-23,31,LAC,52,33.6,23.8,6.5,3.9,.512,.416,.871
2023-24,32,LAC,68,34.3,23.7,6.1,3.6,.525,.417,.885
2024-25,33,LAC,37,31.9,21.5,5.9,3.1,.498,.411,.810
2025-26,34,LAC,65,32.1,27.9,6.4,3.6,.505,.387,.892
