Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
1996-97,18,LAL,14.4,.544,-0.1,0.5,1.8,.079
1997-98,19,LAL,18.5,.548,1.4,1.8,6.3,.147
1998-99,20,LAL,18.9,.549,2.1,1.9,5.2,.130
1999-00,21,LAL,21.7,.546,5.1,4.5,10.6,.202
2000-01,22,LAL,24.5,.552,4.8,4.7,11.3,.196
2001-02,23,LAL,23.2,.544,4.6,5.2,12.7,.199
2002-03,24,LAL,26.2,.550,7.1,7.7,14.9,.210
2003-04,25,LAL,23.7,.551,5.6,4.7,10.7,.210
2004-05,26,LAL,23.3,.563,5.0,4.7,8.1,.145
2005-06,27,LAL,28.0,.559,7.6,8.0,15.3,.224
2006-07,28,LAL,26.1,.580,5.9,6.1,13.0,.199
2007-08,29,LAL,24.2,.576,5.8,6.3,13.8,.208
2008-09,30,LAL,24.4,.561,5.9,5.9,12.7,.206
2009-10,31,LAL,21.9,.545,4.1,4.4,9.4,.160
2010-11,32,LAL,23.9,.548,5.2,5.0,10.3,.178
2011-12,33,LAL,21.9,.527,3.3,2.9,6.2,.132
2012-13,34,LAL,23.0,.570,4.6,5.0,10.9,.174
2013-14,35,LAL,10.7,.505,-5.1,-0.1,-0.4,-0.097
2014-15,36,LAL,17.6,.477,0.3,0.7,0.2,.006
2015-16,37,LAL,14.9,.469,-1.6,0.2,-0.4,-0.010
