Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
1996-97,18,LAL,71,15.5,7.6,1.9,1.3,.417,.375,.819
1997-98,19,LAL,79,26.0,15.4,3.1,2.5,.428,.341,.794
1998-99,20,LAL,50,37.9,19.9,5.3,3.8,.465,.267,.839
1999-00,21,LAL,66,38.2,22.5,6.3,4.9,.468,.319,.821
2000-01,22,LAL,68,40.9,28.5,5.9,5.0,.464,.305,.853
2001-02,23,LAL,80,38.3,25.2,5.5,5.5,.469,.250,.829
2002-03,24,LAL,82,41.5,30.0,6.9,5.9,.451,.383,.843
2003-04,25,LAL,65,37.6,24.0,5.5,5.1,.438,.327,.852
2004-05,26,LAL,66,40.7,27.6,5.9,6.0,.433,.339,.816
2005-06,27,LAL,80,41.0,35.4,5.3,4.5,.450,.347,.850
2006-07,28,LAL,77,40.8,31.6,5.7,5.4,.463,.344,.868
2007-08,29,LAL,82,38.9,28.3,6.3,5.4,.459,.361,.840
2008-09,30,LAL,82,36.1,26.8,5.2,4.9,.467,.351,.856
2009-10,31,LAL,73,38.8,27.0,5.4,5.0,.456,.329,.811
2010-11,32,LAL,82,33.9,25.3,5.1,4.7,.451,.323,.828
2011-12,33,LAL,58,38.5,27.9,5.4,4.6,.430,.303,.845
2012-13,34,LAL,78,38.6,27.3,5.6,6.0,.463,.324,.839
2013-14,35,LAL,6,29.5,13.8,4.3,6.3,.425,.188,.857
2014-15,36,LAL,35,34.5,22.3,5.7,5.6,.373,.293,.813
2015-16,37,LAL,66,28.2,17.6,3.7,2.8,.358,.285,.826
