Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2003-04,19,CLE,18.3,.488,1.7,2.9,5.1,.078
2004-05,20,CLE,25.7,.554,8.6,9.1,14.3,.203
2005-06,21,CLE,28.1,.568,9.1,9.4,16.3,.232
2006-07,22,CLE,24.5,.552,8.1,8.1,13.7,.206
2007-08,23,CLE,29.1,.568,10.9,9.8,15.2,.242
2008-09,24,CLE,31.7,.591,13.2,11.8,20.3,.318
2009-10,25,CLE,31.1,.604,11.8,10.3,18.5,.299
2010-11,26,MIA,27.3,.594,8.1,7.8,15.6,.244
2011-12,27,MIA,30.7,.605,10.9,7.6,14.5,.298
2012-13,28,MIA,31.6,.640,11.7,9.9,19.3,.322
2013-14,29,MIA,29.3,.649,8.8,7.9,15.9,.264
2014-15,30,CLE,25.9,.577,7.1,5.7,10.4,.199
2015-16,31,CLE,27.5,.588,9.0,7.5,13.6,.242
2016-17,32,CLE,27.0,.619,7.6,6.7,12.9,.221
2017-18,33,CLE,28.6,.621,8.7,8.2,14.0,.221
2018-19,34,LAL,25.6,.588,8.0,4.9,7.2,.179
2019-20,35,LAL,25.5,.577,8.4,6.1,9.8,.204
2020-21,36,LAL,24.2,.602,8.1,3.8,5.6,.179
2021-22,37,LAL,26.2,.619,7.7,5.1,7.5,.172
2022-23,38,LAL,23.9,.583,6.1,4.0,5.6,.138
2023-24,39,LAL,23.7,.630,6.5,5.4,8.5,.164
2024-25,40,LAL,22.7,.604,5.6,4.7,7.7,.152
2025-26,41,LAL,20.8,.594,3.5,2.8,5.4,.131
