Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2003-04,19,CLE,79,39.5,20.9,5.5,5.9,.417,.290,.754
2004-05,20,CLE,80,42.4,27.2,7.4,7.2,.472,.351,.750
2005-06,21,CLE,79,42.5,31.4,7.0,6.6,.480,.335,.738
2006-07,22,CLE,78,40.9,27.3,6.7,6.0,.476,.319,.698
2007-08,23,CLE,75,40.4,30.0,7.9,7.2,.484,.315,.712
2008-09,24,CLE,81,37.7,28.4,7.6,7.2,.489,.344,.780
2009-10,25,CLE,76,39.0,29.7,7.3,8.6,.503,.333,.767
2010-11,26,MIA,79,38.8,26.7,7.5,7.0,.510,.330,.759
2011-12,27,MIA,62,37.5,27.1,7.9,6.2,.531,.362,.771
2012-13,28,MIA,76,37.9,26.8,8.0,7.3,.565,.406,.753
2013-14,29,MIA,77,37.7,27.1,6.9,6.3,.567,.379,.750
2014-15,30,CLE,69,36.1,25.3,6.0,7.4,.488,.354,.710
2015-16,31,CLE,76,35.6,25.3,7.4,6.8,.520,.309,.731
2016-17,32,CLE,74,37.8,26.4,8.6,8.7,.548,.363,.674
2017-18,33,CLE,82,36.9,27.5,8.6,9.1,.542,.367,.731
2018-19,34,LAL,55,35.2,27.4,8.5,8.3,.510,.339,.665
2019-20,35,LAL,67,34.6,25.3,7.8,10.2,.493,.348,.693
2020-21,36,LAL,45,33.4,25.0,7.7,7.8,.513,.365,.698
2021-22,37,LAL,56,37.2,30.3,8.2,6.2,.524,.359,.756
2022-23,38,LAL,55,35.5,28.9,8.3,6.8,.500,.321,.768
2023-24,39,LAL,71,35.3,25.7,7.3,8.3,.540,.410,.750
2024-25,40,LAL,70,34.9,24.4,7.8,8.2,.513,.376,.782
2025-26,41,LAL,60,33.2,20.9,6.1,7.2,.515,.317,.737
