Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2015-16,20,DEN,21.5,.582,3.9,2.6,6.7,.185
2016-17,21,DEN,26.3,.640,7.3,4.8,9.7,.228
2017-18,22,DEN,24.4,.603,6.9,5.5,10.7,.211
2018-19,23,DEN,26.3,.589,9.1,7.0,11.8,.226
2019-20,24,DEN,24.9,.605,7.4,5.5,9.8,.202
2020-21,25,DEN,31.3,.647,12.1,8.8,15.6,.301
2021-22,26,DEN,32.8,.661,13.7,9.8,15.2,.296
2022-23,27,DEN,31.5,.701,13.0,8.8,14.9,.308
2023-24,28,DEN,31.0,.650,13.2,10.6,17.0,.299
2024-25,29,DEN,32.0,.663,13.3,9.8,16.4,.307
2025-26,30,DEN,32.3,.670,14.2,9.2,14.9,.316
