Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2015-16,20,DEN,80,21.7,10.0,7.0,2.4,.512,.333,.811
2016-17,21,DEN,73,27.9,16.7,9.8,4.9,.578,.324,.825
2017-18,22,DEN,75,32.6,18.5,10.7,6.1,.499,.396,.850
2018-19,23,DEN,80,31.3,20.1,10.8,7.3,.511,.307,.821
2019-20,24,DEN,73,32.0,19.9,9.7,7.0,.528,.314,.817
2020-21,25,DEN,72,34.6,26.4,10.8,8.3,.566,.388,.868
2021-22,26,DEN,74,33.5,27.1,13.8,7.9,.583,.337,.810
2022-23,27,DEN,69,33.7,24.5,11.8,9.8,.632,.383,.822
2023-24,28,DEN,79,34.6,26.4,12.4,9.0,.583,.359,.817
2024-25,29,DEN,70,36.7,29.6,12.7,10.2,.576,.417,.800
2025-26,30,DEN,65,34.8,27.7,12.9,10.7,.569,.380,.831
