Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2008-09,20,OKC,15.2,.489,-1.0,0.7,1.9,.035
2009-10,21,OKC,17.8,.491,1.2,2.3,6.1,.105
2010-11,22,OKC,23.6,.538,4.2,4.4,9.4,.159
2011-12,23,OKC,22.9,.538,3.0,3.0,7.9,.163
2012-13,24,OKC,23.9,.532,4.4,4.6,11.6,.195
2013-14,25,OKC,24.7,.545,5.5,2.7,5.2,.178
2014-15,26,OKC,29.1,.536,8.1,5.8,10.6,.222
2015-16,27,OKC,27.6,.554,7.8,6.8,14.0,.245
2016-17,28,OKC,30.6,.554,11.1,9.3,13.1,.224
2017-18,29,OKC,24.7,.524,6.3,6.1,10.1,.166
2018-19,30,OKC,21.1,.501,5.2,4.7,6.8,.124
2019-20,31,HOU,21.0,.536,1.5,1.8,4.2,.098
2020-21,32,WAS,19.5,.509,3.7,3.4,3.7,.075
2021-22,33,LAL,15.0,.512,-1.6,0.2,1.7,.030
2022-23,34,2TM,16.1,.513,0.2,1.2,1.9,.044
2022-23,34,LAL,15.3,.496,-0.1,0.7,0.7,.023
2022-23,34,LAC,17.8,.562,0.8,0.5,1.2,.092
2023-24,35,LAC,16.2,.514,0.5,1.0,2.1,.066
2024-25,36,DEN,14.3,.532,-1.1,0.5,1.9,.045
2025-26,37,SAC,15.1,.528,-0.4,0.7,0.4,.009
