Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2008-09,20,OKC,82,32.5,15.3,4.9,5.3,.398,.271,.815
2009-10,21,OKC,82,34.3,16.1,4.9,8.0,.418,.221,.780
2010-11,22,OKC,82,34.7,21.9,4.6,8.2,.442,.330,.842
2011-12,23,OKC,66,35.3,23.6,4.6,5.5,.457,.316,.823
2012-13,24,OKC,82,34.9,23.2,5.2,7.4,.438,.323,.800
2013-14,25,OKC,46,30.7,21.8,5.7,6.9,.437,.318,.826
2014-15,26,OKC,67,34.4,28.1,7.3,8.6,.426,.299,.835
2015-16,27,OKC,80,34.4,23.5,7.8,10.4,.454,.296,.812
2016-17,28,OKC,81,34.6,31.6,10.7,10.4,.425,.343,.845
2017-18,29,OKC,80,36.4,25.4,10.1,10.3,.449,.298,.737
2018-19,30,OKC,73,36.0,22.9,11.1,10.7,.428,.290,.656
2019-20,31,HOU,57,35.9,27.2,7.9,7.0,.472,.258,.763
2020-21,32,WAS,65,36.4,22.2,11.5,11.7,.439,.315,.656
2021-22,33,LAL,78,34.3,18.5,7.4,7.1,.444,.298,.667
2022-23,34,2TM,73,29.1,15.9,5.8,7.5,.436,.311,.656
2022-23,34,LAL,52,28.7,15.9,6.2,7.5,.417,.296,.655
2022-23,34,LAC,21,30.2,15.8,4.9,7.6,.489,.356,.658
2023-24,35,LAC,68,22.5,11.1,5.0,4.5,.454,.273,.688
2024-25,36,DEN,75,27.9,13.3,4.9,6.1,.449,.323,.661
2025-26,37,SAC,64,29.0,15.2,5.4,6.7,.427,.338,.694
