Season,Age,Team,PER,TS%,BPM,VORP,WS,WS/48
2009-10,21,GSW,16.3,.568,0.7,2.0,4.7,.077
2010-11,22,GSW,19.4,.595,2.3,2.7,6.6,.128
2011-12,23,GSW,21.2,.605,4.3,1.2,2.2,.144
2012-13,24,GSW,21.3,.589,5.4,5.6,11.2,.180
2013-14,25,GSW,24.1,.610,7.4,6.7,13.4,.225
2014-15,26,GSW,28.0,.638,9.9,7.9,15.7,.288
2015-16,27,GSW,31.5,.669,11.9,9.5,17.9,.318
2016-17,28,GSW,24.6,.624,6.9,5.9,12.6,.229
2017-18,29,GSW,28.2,.675,7.7,4.0,9.1,.267
2018-19,30,GSW,24.4,.641,6.6,5.1,9.7,.199
2019-20,31,GSW,21.7,.557,3.9,0.2,0.3,.103
2020-21,32,GSW,26.3,.655,8.7,5.8,9.0,.201
2021-22,33,GSW,21.4,.601,5.8,4.4,8.0,.173
2022-23,34,GSW,24.1,.656,7.5,4.7,7.8,.192
2023-24,35,GSW,20.6,.616,5.2,4.4,7.2,.142
2024-25,36,GSW,21.5,.618,6.3,4.8,7.9,.168
2025-26,37,GSW,22.6,.637,5.4,2.5,4.1,.147
