Season,Age,Team,G,MP,PPG,RPG,APG,FG%,3P%,FT%
2009-10,21,GSW,80,36.2,17.5,4.5,5.9,.462,.437,.885
2010-11,22,GSW,74,33.6,18.6,3.9,5.8,.480,.442,.934
2011-12,23,GSW,26,28.2,14.7,3.4,5.3,.490,.455,.809
2012-13,24,GSW,78,38.2,22.9,4.0,6.9,.451,.453,.900
2013-14,25,GSW,78,36.5,24.0,4.3,8.5,.471,.424,.885
2014-15,26,GSW,80,32.7,23.8,4.3,7.7,.487,.443,.914
2015-16,27,GSW,79,34.2,30.1,5.4,6.7,.504,.454,.908
2016-17,28,GSW,79,33.4,25.3,4.5,6.6,.468,.411,.898
2017-18,29,GSW,51,32.0,26.4,5.1,6.1,.495,.423,.921
2018-19,30,GSW,69,33.8,27.3,5.3,5.2,.472,.437,.916
2019-20,31,GSW,5,27.8,20.8,5.2,6.6,.402,.245,1.000
2020-21,32,GSW,63,34.2,32.0,5.5,5.8,.482,.421,.916
2021-22,33,GSW,64,34.5,25.5,5.2,6.3,.437,.380,.923
2022-23,34,GSW,56,34.7,29.4,6.1,6.3,.493,.427,.915
2023-24,35,GSW,74,32.7,26.4,4.5,5.1,.450,.408,.923
2024-25,36,GSW,70,32.2,24.5,4.4,6.0,.448,.397,.933
2025-26,37,GSW,43,30.9,26.6,3.6,4.7,.468,.393,.923
